id,Destination Name,Country/City,Accommodation Options,Activities/Attractions,Travel Packages,Price,Availability,Ratings/Reviews
1,Jakarta,"Jakarta, France",Business Hotel,Amusement Park,Business Hotel + Amusement Park Package,4235.99,Limited Availability,3.8
2,Fiji,"Fiji, Japan",Guest House,Food Tasting,Guest House + Food Tasting Package,2643.76,Available,4.2
3,Hiroshima,"Hiroshima, UK",Vacation Rental,Sightseeing,Vacation Rental + Sightseeing Package,4666.3,Fully Booked,4
4,Warsaw,"Warsaw, Canada",Business Hotel,Wildlife Safari,Business Hotel + Wildlife Safari Package,3526.66,Available,4.9
5,Vancouver,"Vancouver, Italy",Vacation Rental,Shopping,Vacation Rental + Shopping Package,1533.79,Available,4.3
6,Melbourne,"Melbourne, Brazil",Business Hotel,Skiing,Business Hotel + Skiing Package,4612.48,Available,3.8
7,Florence,"Florence, Brazil",Hostel,Spa Day,Hostel + Spa Day Package,2172.4,Limited Availability,4.8
8,Brisbane,"Brisbane, Japan",Bed and Breakfast,Spa Day,Bed and Breakfast + Spa Day Package,3749.61,Available,4.2
9,Mykonos,"Mykonos, Japan",Bed and Breakfast,Wildlife Safari,Bed and Breakfast + Wildlife Safari Package,425.85,Available,3.9
10,Kathmandu,"Kathmandu, Italy",Boutique Hotel,Wildlife Safari,Boutique Hotel + Wildlife Safari Package,4192.8,Fully Booked,3.9
11,Jakarta,"Jakarta, UK",Hostel,Skiing,Hostel + Skiing Package,3756.02,Fully Booked,3.7
12,Madrid,"Madrid, France",Vacation Rental,Sightseeing,Vacation Rental + Sightseeing Package,1924.98,Fully Booked,4.6
13,Mykonos,"Mykonos, Italy",Boutique Hotel,Photography Tour,Boutique Hotel + Photography Tour Package,4040.09,Fully Booked,4.7
14,Kathmandu,"Kathmandu, UK",Vacation Rental,Amusement Park,Vacation Rental + Amusement Park Package,1670.34,Fully Booked,4.2
15,Colombo,"Colombo, Spain",Boutique Hotel,Food Tasting,Boutique Hotel + Food Tasting Package,2546.82,Limited Availability,3.7
16,Auckland,"Auckland, Brazil",Guest House,Shopping,Guest House + Shopping Package,240.32,Available,3.8
17,Kyoto,"Kyoto, Australia",Hostel,Historical Tour,Hostel + Historical Tour Package,391.87,Limited Availability,4.7
18,Zurich,"Zurich, France",Vacation Rental,Nightlife,Vacation Rental + Nightlife Package,4084.53,Fully Booked,4.5
19,Salzburg,"Salzburg, France",Vacation Rental,Photography Tour,Vacation Rental + Photography Tour Package,3619.61,Fully Booked,3.7
20,Beijing,"Beijing, Australia",Bed and Breakfast,Beach Day,Bed and Breakfast + Beach Day Package,1501.02,Fully Booked,3.6
21,Hiroshima,"Hiroshima, Germany",Budget Hotel,Culinary Class,Budget Hotel + Culinary Class Package,3298.32,Fully Booked,3.6
22,Canberra,"Canberra, Germany",Budget Hotel,Skiing,Budget Hotel + Skiing Package,1911.78,Fully Booked,4.5
23,Barcelona,"Barcelona, UK",Resort,Sightseeing,Resort + Sightseeing Package,2566.61,Limited Availability,3.6
24,Warsaw,"Warsaw, Australia",Luxury Hotel,Amusement Park,Luxury Hotel + Amusement Park Package,2831.51,Limited Availability,4.9
25,Phuket,"Phuket, USA",Guest House,City Tour,Guest House + City Tour Package,2218.79,Fully Booked,4.1
26,Athens,"Athens, Japan",Eco-lodge,City Tour,Eco-lodge + City Tour Package,3697.46,Fully Booked,4.9
27,Bangkok,"Bangkok, Japan",Hostel,Beach Day,Hostel + Beach Day Package,4950.93,Fully Booked,3.9
28,Queenstown,"Queenstown, Japan",Budget Hotel,Wine Tasting,Budget Hotel + Wine Tasting Package,1113.23,Limited Availability,3.8
29,Seoul,"Seoul, UK",Boutique Hotel,Music Festival,Boutique Hotel + Music Festival Package,2221.62,Available,4.4
30,Bali,"Bali, Japan",Eco-lodge,Water Sports,Eco-lodge + Water Sports Package,4286.46,Limited Availability,3.9
